,name,Hosting team,visiting team,distance (in km),time plane (in seconds),fuel consumption (in kg),Emission plane (in kg),distance autocar (in km),time autocar (in sec),Emission autocar (in kg),Total time (in seconds),Total emission (aller-retour)
71,Lens;-Le Havre,Lens,Le Havre,249.34010949521203,2107.7064407512,2029.2756882956915,11824.488691515888,69.005,3657,103.50749999999998,5764.7064407512,27789.277383031775
72,Lens;-Lille,Lens,Lille,0.0,1027.3962592351656,1287.86079089524,7504.300892195242,44.681999999999995,2557,67.02299999999998,3584.3962592351654,17689.521784390483
73,Lens;-Lyon,Lens,Lyon,558.3958792948258,3446.7452959387156,2948.255600195498,17179.33901503987,60.801,2994,91.2015,6440.745295938716,38006.73803007974
74,Lens;-Marseille,Lens,Marseille,808.6523835001777,4531.02591982624,3692.3954049178087,21515.4047140459,66.0,3548,99.0,8079.02591982624,46990.8094280918
75,Lens;-Monaco,Lens,Monaco,828.440688650695,4616.762256319909,3751.2360955014524,21858.266496907756,70.44999999999999,4076,105.67499999999997,8692.76225631991,47943.53299381551
76,Lens;-Montpellier,Lens,Montpellier,779.7179042671039,4405.662164369342,3606.3584893354932,21014.071878283983,58.256,3663,87.384,8068.662164369342,45523.50375656797
77,Lens;-Nantes,Lens,Nantes,511.2282370919191,3242.383132895373,2808.002222288159,16362.089544907458,59.91799999999999,3198,89.87699999999998,6440.383132895373,36319.259089814914
78,Lens;-Nice,Lens,Nice,828.440688650695,4616.762256319909,3751.2360955014524,21858.266496907756,43.757,2620,65.6355,7236.762256319909,46341.95299381551
79,Lens;-Paris Saint-Germain,Lens,Paris Saint-Germain,210.8564565975596,1940.9691992723626,1914.8442250927947,11157.702236427236,57.78,3641,86.67,5581.969199272363,25782.20447285447
80,Lens;-Reims,Lens,Reims,150.7936961481534,1680.7366527526135,1736.2471054142238,10117.025686583876,82.989,4077,124.4835,5757.736652752614,25213.391373167753
81,Lens;-Rennes,Lens,Rennes,448.29426876406757,2969.7105697629213,2620.867542010443,15271.665053303404,45.248999999999995,2646,67.87349999999998,5615.710569762921,33258.27010660681
82,Lens;-Strasbourg,Lens,Strasbourg,410.0394510926723,2803.964797427638,2507.1165222634368,14608.843508451348,90.943,5321,136.4145,8124.964797427638,34674.2670169027
83,Lens;-Saint-Étienne,Lens,Saint-Étienne,566.8900823792654,3483.547935091167,2973.5131839877654,17326.51370187481,50.709999999999994,2692,76.06499999999998,6175.547935091166,37695.62740374962
84,Lens;-Toulouse,Lens,Toulouse,782.2522093109022,4416.642489786802,3613.8942665429113,21057.982477955007,52.577999999999996,3059,78.867,7475.642489786802,45270.644955910015
85,Lille;-Angers,Lille,Angers,416.3574933494165,2831.338834404791,2525.9032736651225,14718.312976193369,34.62,1929,51.92999999999999,4760.338834404791,31513.82595238674
86,Lille;-Auxerre,Lille,Auxerre,304.11078746560895,2345.010102724173,2192.1367565377213,12773.472050860937,18.877000000000002,1709,28.315500000000004,4054.010102724173,26679.564101721873
87,Lille;-Brest,Lille,Brest,591.4956335467255,3590.155843068087,3046.677995823441,17752.84142814567,18.017,1424,27.0255,5014.155843068087,36586.70285629134
88,Lille;-Le Havre,Lille,Le Havre,249.34010949521203,2107.7064407512,2029.2756882956915,11824.488691515888,40.272999999999996,2412,60.409499999999994,4519.7064407512,26065.357383031776
89,Lille;-Lens,Lille,Lens,0.0,1027.3962592351656,1287.86079089524,7504.300892195242,44.663,2616,66.9945,3643.3962592351654,17688.381784390484
90,Lille;-Lyon,Lille,Lyon,558.3958792948258,3446.7452959387156,2948.255600195498,17179.33901503987,32.069,1749,48.1035,5195.745295938716,36282.81803007974
91,Lille;-Marseille,Lille,Marseille,808.6523835001777,4531.02591982624,3692.3954049178087,21515.4047140459,37.268,2303,55.902,6834.02591982624,45266.8894280918
92,Lille;-Monaco,Lille,Monaco,828.440688650695,4616.762256319909,3751.2360955014524,21858.266496907756,41.717999999999996,2831,62.577,7447.762256319909,46219.61299381551
93,Lille;-Montpellier,Lille,Montpellier,779.7179042671039,4405.662164369342,3606.3584893354932,21014.071878283983,29.524,2418,44.286,6823.662164369342,43799.58375656797
94,Lille;-Nantes,Lille,Nantes,511.2282370919191,3242.383132895373,2808.002222288159,16362.089544907458,31.186,1953,46.779,5195.383132895373,34595.339089814915
95,Lille;-Nice,Lille,Nice,828.440688650695,4616.762256319909,3751.2360955014524,21858.266496907756,15.024999999999999,1375,22.537499999999998,5991.762256319909,44618.03299381551
96,Lille;-Paris Saint-Germain,Lille,Paris Saint-Germain,210.8564565975596,1940.9691992723626,1914.8442250927947,11157.702236427236,29.048000000000002,2396,43.572,4336.969199272363,24058.284472854473
97,Lille;-Reims,Lille,Reims,150.7936961481534,1680.7366527526135,1736.2471054142238,10117.025686583876,54.257,2832,81.3855,4512.736652752614,23489.471373167755
98,Lille;-Rennes,Lille,Rennes,448.29426876406757,2969.7105697629213,2620.867542010443,15271.665053303404,16.517,1401,24.7755,4370.710569762921,31534.35010660681
