,Hosting team,visiting team,Time,emission_carbone
75,Lens,Monaco,4616.762256319909,47943.53299381551
76,Lens,Montpellier,4405.662164369342,45523.50375656797
77,Lens,Nantes,3242.383132895373,36319.259089814914
78,Lens,Nice,4616.762256319909,46341.95299381551
79,Lens,Paris Saint-Germain,1940.9691992723624,25782.20447285447
80,Lens,Reims,1680.7366527526135,25213.391373167757
81,Lens,Rennes,2969.7105697629213,33258.27010660681
82,Lens,Strasbourg,2803.964797427638,34674.2670169027
83,Lens,Saint-Étienne,3483.547935091167,37695.62740374962
84,Lens,Toulouse,4416.642489786802,45270.644955910015
85,Lille,Angers,2831.338834404791,31513.82595238674
86,Lille,Auxerre,2345.010102724173,26679.564101721877
87,Lille,Brest,3590.155843068087,36586.70285629134
88,Lille,Le Havre,2107.7064407512,26065.357383031776
89,Lille,Lens,1027.3962592351656,17688.381784390484
90,Lille,Lyon,3446.745295938716,36282.81803007974
91,Lille,Marseille,4531.02591982624,45266.8894280918
92,Lille,Monaco,4616.762256319909,46219.61299381551
93,Lille,Montpellier,4405.662164369342,43799.58375656797
94,Lille,Nantes,3242.383132895373,34595.339089814915
95,Lille,Nice,4616.762256319909,44618.03299381551
96,Lille,Paris Saint-Germain,1940.9691992723624,24058.284472854477
97,Lille,Reims,1680.7366527526135,23489.471373167755
98,Lille,Rennes,2969.7105697629213,31534.35010660681
99,Lille,Strasbourg,2803.964797427638,32950.3470169027
100,Lille,Saint-Étienne,3483.547935091167,35971.70740374962
101,Lille,Toulouse,4416.642489786802,43546.72495591002
102,Lyon,Angers,3021.5858412854054,33557.49115808701
103,Lyon,Auxerre,2175.8647347830915,25848.79087401835
104,Lyon,Brest,4408.419176830291,43653.2744819988
105,Lyon,Le Havre,3403.525870158806,36951.44687166117
106,Lyon,Lens,3446.745295938716,37560.51803007974
107,Lyon,Lille,3446.745295938716,35837.73803007974
108,Lyon,Marseille,2129.113192895852,26578.32967191093
109,Lyon,Monaco,2259.466933589396,27887.90549832731
110,Lyon,Montpellier,2129.6414366978074,26117.91459261856
111,Lyon,Nantes,3351.4030362734484,35989.34580385242
112,Lyon,Nice,2259.466933589396,26286.32549832731
113,Lyon,Paris Saint-Germain,2726.348973099115,30861.85171914933
114,Lyon,Reims,2853.711100853271,33393.04047361515
115,Lyon,Rennes,3539.7491386167367,36615.60747869583
116,Lyon,Strasbourg,2794.724170062361,33398.50001077688
117,Lyon,Saint-Étienne,1310.6496880066968,19114.81706738234
118,Lyon,Toulouse,2653.0233408437416,29963.269595090504
119,Marseille,Angers,3752.624059764308,40172.73188983688
120,Marseille,Auxerre,3227.2432346792457,35026.129416357464
121,Marseille,Brest,5052.4113714689065,49572.316702231445
122,Marseille,Le Havre,4338.690836165975,45199.303678451775
123,Marseille,Lens,4531.02591982624,47001.0094280918
124,Marseille,Lille,4531.02591982624,45278.2294280918
125,Marseille,Lyon,2129.113192895852,27034.749671910933
126,Marseille,Monaco,1733.660464223324,24450.838700310127
127,Marseille,Montpellier,1469.2521476836127,21604.44758031096
128,Marseille,Nantes,3948.282699035453,41531.57960574209
129,Marseille,Nice,1733.660464223324,22849.258700310125
130,Marseille,Paris Saint-Germain,3747.281314085653,39795.68033904578
131,Marseille,Reims,3953.001438129075,42953.58032023176
132,Marseille,Rennes,4252.252670939814,43082.60685094604
133,Marseille,Strasbourg,3771.948662146379,41982.75103935926
134,Marseille,Saint-Étienne,2084.3496611741416,26071.268675890595
135,Marseille,Toulouse,2375.2322068830617,28509.842022909663
136,Monaco,Angers,4183.071727046408,43761.75415452331
137,Monaco,Auxerre,3398.165126673929,36539.4513735035
138,Monaco,Brest,5542.430047053369,53637.79091130284
139,Monaco,Le Havre,4633.923856902262,47706.87234528928
140,Monaco,Lens,4616.762256319909,47833.01299381552
141,Monaco,Lille,4616.762256319909,46110.23299381551
142,Monaco,Lyon,2259.466933589396,28223.60549832731
143,Monaco,Marseille,1733.660464223324,24330.11870031013
144,Monaco,Montpellier,2161.1279741813405,27284.385515637943
145,Monaco,Nantes,4448.421818224954,45677.997635827625
146,Monaco,Nice,1027.3962592351656,17346.801784390485
147,Monaco,Paris Saint-Germain,3953.9195745405455,41594.66362179609
148,Monaco,Reims,3986.4160490022846,43367.11207196644
149,Monaco,Rennes,4699.426958778162,46805.40947480591
150,Monaco,Strasbourg,3510.019397628466,40034.10750310725
151,Monaco,Saint-Étienne,2375.114491519529,28543.10052946449
152,Monaco,Toulouse,3066.3521747507266,34183.734562594764
153,Montpellier,Angers,3427.8079631396577,37021.75628231512
154,Montpellier,Auxerre,3088.1306904783946,33360.420235457634
155,Montpellier,Brest,4680.241584455132,46042.60387835797
156,Montpellier,Le Havre,4086.686844267976,42630.68297578059
157,Montpellier,Lens,4405.662164369342,45445.26375656797
158,Montpellier,Lille,4405.662164369342,43722.48375656796
159,Montpellier,Lyon,2129.6414366978074,26485.89459261856
160,Montpellier,Marseille,1469.2521476836127,21516.00758031096
161,Montpellier,Monaco,2161.1279741813405,27316.665515637946
162,Montpellier,Nantes,3579.3623552520307,38027.85599355715
163,Montpellier,Nice,2161.1279741813405,25715.085515637944
164,Montpellier,Paris Saint-Germain,3564.757582860276,37782.766283571495
165,Montpellier,Reims,3874.5823723686,41773.30065678491
166,Montpellier,Rennes,3910.210076332659,39793.8528392541
167,Montpellier,Strasbourg,3882.791658600682,42316.19894424306
168,Montpellier,Saint-Étienne,1974.5887781354604,24640.31556896324
169,Montpellier,Toulouse,1934.9821256678365,24435.61955464772
170,Nantes,Angers,1488.812521690248,21588.51244323917
171,Nantes,Auxerre,2718.424941196766,30478.43491028151
172,Nantes,Brest,2131.5275993901228,25732.80021745167
173,Nantes,Le Havre,2229.2978505302976,27850.13164258357
174,Nantes,Lens,3242.383132895373,36216.23908981492
175,Nantes,Lille,3242.383132895373,34493.45908981492
176,Nantes,Lyon,3351.4030362734484,36332.545803852416
177,Nantes,Marseille,3948.282699035453,41418.35960574209
178,Nantes,Monaco,4448.421818224954,45685.497635827625
179,Nantes,Montpellier,3579.3623552520307,38003.07599355715
180,Nantes,Nice,4448.421818224954,44083.91763582762
181,Nantes,Paris Saint-Germain,2515.012274327817,29461.790088554684
182,Nantes,Reims,3240.86782933351,36779.75961510805
183,Nantes,Rennes,1461.4333025179171,20283.352060295376
