Id,Visiting team,Hosting team,étape,transport,emissions_kg_co2,travel_time_seconds,distance_km,alternative_emissions_kg_co2,alternative_emissions_kg_co2_wo_empty_bus,alternative_travel_time_seconds,alternative_distance_km,alternative_emissions_kg_co2_scenario<3,alternative_emissions_kg_co2_wo_empty_bus_scenario<3,alternative_travel_time_seconds_scenario<3,alternative_distance_km_scenario<3,alternative_emissions_kg_co2_scenario<6,alternative_emissions_kg_co2_wo_empty_bus_scenario<6,alternative_travel_time_seconds_scenario<6,alternative_distance_km_scenario<6
19,Paris Saint-Germain,Monaco,aller,avion,8104.932862964614,8509.0,761.8276400180798,1606.835244,152.705244,24299.0,875.132,8104.932862964614,6650.802862964614,8509.0,761.8276400180798,1606.835244,152.705244,24299.0,875.132
19,Paris Saint-Germain,Monaco,retour,avion,8104.932862964614,8509.0,761.8276400180798,1606.835244,152.705244,24299.0,875.132,8104.932862964614,6650.802862964614,8509.0,761.8276400180798,1606.835244,152.705244,24299.0,875.132
20,Monaco,Monaco,aller,/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,Monaco,Monaco,retour,/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,Brest,Monaco,aller,avion,11263.254689375732,8517.0,1085.4547719985105,2810.547786,624.5047860000001,43433.0,1393.562,11263.254689375732,9077.211689375732,8517.0,1085.4547719985105,11263.254689375732,9077.211689375732,8517.0,1085.4547719985105
21,Brest,Monaco,retour,avion,11263.254689375732,8517.0,1085.4547719985105,2810.547786,624.5047860000001,43433.0,1393.562,11263.254689375732,9077.211689375732,8517.0,1085.4547719985105,11263.254689375732,9077.211689375732,8517.0,1085.4547719985105
22,Lille,Monaco,aller,avion,9331.98132010541,7482.0,869.8613079310746,2396.788702,628.522702,30338.0,1073.445,9331.98132010541,7563.715320105409,7482.0,869.8613079310746,9331.98132010541,7563.715320105409,7482.0,869.8613079310746
22,Lille,Monaco,retour,avion,9331.98132010541,7482.0,869.8613079310746,2396.788702,628.522702,30338.0,1073.445,9331.98132010541,7563.715320105409,7482.0,869.8613079310746,9331.98132010541,7563.715320105409,7482.0,869.8613079310746
23,Nice,Monaco,aller,bus,40.2615,1637.0,26.841,40.2615,40.2615,1637.0,26.841,40.2615,40.2615,1637.0,26.841,40.2615,40.2615,1637.0,26.841
23,Nice,Monaco,retour,bus,40.2615,1637.0,26.841,40.2615,40.2615,1637.0,26.841,40.2615,40.2615,1637.0,26.841,40.2615,40.2615,1637.0,26.841
24,Lyon,Monaco,aller,avion,4526.336981400301,5423.0,334.26064615280546,752.985,752.985,18030.0,501.99,4526.336981400301,3773.3519814003007,5423.0,334.26064615280546,752.985,752.985,18030.0,501.99
24,Lyon,Monaco,retour,avion,4526.336981400301,5423.0,334.26064615280546,752.985,752.985,18030.0,501.99,4526.336981400301,3773.3519814003007,5423.0,334.26064615280546,752.985,752.985,18030.0,501.99
25,Lens,Monaco,aller,avion,9346.318320105409,8749.0,898.5723079310746,2359.7301239999997,620.193624,33463.0,1040.276,9346.318320105409,7606.78182010541,8749.0,898.5723079310746,9346.318320105409,7606.78182010541,8749.0,898.5723079310746
