team,scenario,transport_type,alternative_selected,emissions_tonnes_co2_from_transport,emissions_tonnes_co2_from_empty_bus,emissions_tonnes_co2,travel_time_hours
Reims,S-4h,bus,8,7.266594,0.0,7.266594,48.78388888888889
Reims,S-4h,train,8,0.8737550559999999,8.523588,9.397343056,45.242222222222225
Reims,S-4h',avion,0,208.58168131423014,0.0,208.58168131423014,75.065
Reims,S-4h',bus,8,7.266594,0.0,7.266594,48.78388888888889
Reims,S-4h',train,8,0.8737550559999999,0.0,0.8737550559999999,45.242222222222225
Reims,S-6h,avion,0,131.00322456091706,25.886027999999996,156.88925256091704,44.86666666666667
Reims,S-6h,bus,8,5.626428,0.0,5.626428,38.44777777777778
Reims,S-6h,train,16,10.967120955999999,22.777703999999996,33.744824955999995,122.27444444444444
Reims,S-6h',avion,0,131.00322456091706,0.0,131.00322456091706,44.86666666666667
Reims,S-6h',bus,8,5.626428,0.0,5.626428,38.44777777777778
Reims,S-6h',train,16,10.967120955999999,0.0,10.967120955999999,122.27444444444444
Reims,S-NP,bus,8,5.626428,0.0,5.626428,38.44777777777778
Reims,S-NP,train,26,43.364801156,48.663732,92.02853315600001,275.6711111111111
Reims,S-NP',bus,8,5.626428,0.0,5.626428,38.44777777777778
Reims,S-NP',train,26,43.364801156,0.0,43.364801156,275.6711111111111
Reims,SA,avion,0,236.4292943932871,42.733943999999994,279.1632383932871,85.97722222222222
Reims,SA,bus,0,10.269318,0.0,10.269318,69.34388888888888
Reims,SA,train,0,0.12198946,1.2868979999999999,1.4088874599999999,7.535
Reims,SA',avion,0,236.4292943932871,0.0,236.4292943932871,85.97722222222222
Reims,SA',bus,0,10.269318,0.0,10.269318,69.34388888888888
Reims,SA',train,0,0.12198946,0.0,0.12198946,7.535
Toulouse,S-4h,avion,0,344.1346985035103,64.852152,408.9868505035103,100.85111111111111
Toulouse,S-4h,bus,4,3.8717159999999993,0.0,3.8717159999999993,25.09888888888889
Toulouse,S-4h',avion,0,344.1346985035103,0.0,344.1346985035103,100.85111111111111
