origin,destination,distance_km,duration_seconds
"48.841172,2.320514","48.795826,2.135883",21.999,2037
"48.725152,2.259839","48.881393,2.357438",31.702,3052
"48.841172,2.320514","48.879706,2.358362",8.703,2058
"48.841172,2.320514","48.876793,2.359296",9.614,2238
"48.87478,2.32862","48.879706,2.358362",2.65,865
"48.87478,2.32862","48.841172,2.320514",7.122,1734
"47.2560233,-1.524675","47.1972,-1.594332",17.731,939
"48.871956,2.330432","49.003965,2.570665",30.285,2217
"48.876242,2.325331","48.841172,2.320514",6.082,1373
"48.87478,2.32862","48.876793,2.359296",3.126,1008
"48.871956,2.330432","48.725152,2.259839",28.207,2742
"49.003965,2.570665","48.841172,2.320514",42.77,3279
"43.72758169999999,7.4156038","43.705554,7.290175",19.004,1823
"48.843811,2.374082","48.869767,2.782218",42.794,2568
"48.843811,2.374082","48.876793,2.359296",4.583,1365
"48.843811,2.374082","48.725152,2.259839",24.338,2048
"50.611355,3.1326951","50.622635,3.114932",3.447,536
